geo,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,pays_coordonnées_latitude,pays_coordonnées_longitude,pays_coordonnées_name (nom),iso3,status,color_code,name,continent,region,iso_3166_1,french_sho
AL,"1953.468 ","1790.623 ","1961.871 ",2058.574,1962.498,1899.558,2078.928,2134.212,2053.036,"1840.668 ","2012.504 ","1958.847 ",41.153332,20.168331,Albanie,ALB,Member State,ALB,Albania,Europe,Southern Europe,AL,Albanie
AT,"25092.859 ","25201.329 ","25801.476 ",24760.998,25475.009,26099.472,26502.78,26042.437,26221.621,"24872.933 ","26487.778 ","24823.616 ",47.516231,14.550072,Autriche,AUT,Member State,AUT,Austria,Europe,Western Europe,AT,Autriche
BA,: ,: ,: ,3103.624,3316.907,3543.934,3497.933,4211.931,4207.688,"4024.489 ","4305.320 ","4290.012 ",43.915886,17.679076,Bosnie-Herzégovine,BIH,Member State,BIH,Bosnia & Herzegovina,Europe,Southern Europe,BA,Bosnie-Herzégovine
BE,"32624.012 ","33058.280 ","34107.252 ",31594.248,33155.9,33437.524,32979.543,33204.836,32590.234,"30938.838 ","33173.523 ","30383.390 ",50.503887,4.469936,Belgique,BEL,Member State,BEL,Belgium,Europe,Western Europe,BE,Belgique
BG,"9125.105 ","9103.369 ","8680.757 ",8881.501,9388.553,9517.949,9745.903,9757.67,9719.6,"9499.659 ","10164.447 ","9854.067 ",42.733883,25.48583,Bulgarie,BGR,Member State,BGR,Bulgaria,Europe,Eastern Europe,BG,Bulgarie
CZ,"23337.059 ","23326.229 ","23131.377 ",22445.593,23100.094,23695.026,24445.396,24190.964,24227.514,"23766.194 ","25315.247 ","24232.335 ",49.817492,15.472962,République tchèque,CZE,Member State,CZE,Czech Republic,Europe,Eastern Europe,CZ,République tchèque
DE,"199292.537 ","202662.536 ","208057.421 ",197229.019,200031.296,203666.981,204512.293,200684.593,200804.342,"194248.055 ","197569.316 ","190442.433 ",51.165691,10.451526,Allemagne,DEU,Member State,DEU,Germany,Europe,Western Europe,DE,Allemagne
DK,"14116.296 ","13611.792 ","13460.545 ",12932.124,13462.386,13764.113,13816.96,13787.68,13538.875,"13067.367 ","13815.139 ","13036.306 ",56.26392,9.501785,Danemark,DNK,Member State,DNK,Denmark,Europe,Northern Europe,DK,Danemark
EE,"2781.689 ","2827.225 ","2840.316 ",2774.349,2750.345,2794.835,2807.413,2888.098,2826.061,"2725.496 ","2789.658 ","2720.738 ",58.595272,25.013607,Estonie,EST,Member State,EST,Estonia,Europe,Northern Europe,EE,Estonie
ES,"82390.875 ","79000.274 ","76056.192 ",75144.184,75945.839,77631.876,79697.362,81695.165,81511.227,"72322.647 ","78607.539 ","77873.473 ",40.463667,-3.74922,Espagne,ESP,Member State,ESP,Spain,Europe,Southern Europe,ES,Espagne
FI,"23726.736 ","23952.270 ","23561.862 ",23416.963,23049.777,24030.895,24677.948,25023.502,24828.679,"23246.067 ","24805.313 ","23172.696 ",61.92411,25.748151,Finlande,FIN,Member State,FIN,Finland,Europe,Northern Europe,FI,Finlande
FR,"140884.076 ","145862.497 ","148717.482 ",137552.535,140840.983,143322.297,142341.684,140354.207,139339.439,"127822.129 ","138965.296 ","132682.300 ",46.227638,2.213749,France,FRA,Member State,FRA,France,Europe,Western Europe,FR,France
HR,"6875.498 ","6558.631 ","6467.843 ",6130.555,6484.974,6533.115,6793.042,6682.876,6726.814,"6432.449 ","6887.646 ","6719.174 ",45.1,15.2,Croatie,HRV,Member State,HRV,Croatia,Europe,Southern Europe,HR,Croatie
HU,"16917.517 ","16003.531 ","16255.431 ",15775.708,16829.628,17274.354,17874.513,17849.381,17968.801,"17606.514 ","18793.605 ","17961.469 ",47.162494,19.503304,Hongrie,HUN,Member State,HUN,Hungary,Europe,Eastern Europe,HU,Hongrie
IE,"10363.608 ","10175.368 ","10248.421 ",10189.452,10512.78,10921.747,10871.86,11337.053,11319.107,"10854.506 ","11061.600 ","11058.173 ",53.41291,-8.24389,Irlande,IRL,Member State,IRL,Ireland,Europe,Northern Europe,IE,Irlande
IS,"2521.164 ","2600.490 ","2706.726 ",2739.703,2848.624,2801.368,2848.956,3078.878,2934.494,"2869.740 ","2984.432 ",: ,64.963051,-19.020835,Islande,ISL,Member State,ISL,Iceland,Europe,Northern Europe,IS,Islande
IT,"117518.026 ","116559.044 ","114053.675 ",108848.35,112108.171,111554.603,113611.214,114296.937,113119.475,"103057.147 ","114724.702 ","110777.728 ",41.87194,12.56738,Italie,ITA,Member State,ITA,Italy,Europe,Southern Europe,IT,Italie
LT,"4728.244 ","4838.968 ","4712.305 ",4800.537,4779.51,5003.215,5239.082,5466.581,5460.021,"5284.212 ","5662.351 ","5376.688 ",55.169438,23.881275,Lituanie,LTU,Member State,LTU,Lithuania,Europe,Northern Europe,LT,Lituanie
LU,"3889.180 ","3799.238 ","3753.122 ",3596.761,3534.819,3533.953,3608.658,3738.139,3792.159,"3270.781 ","3440.379 ","3032.114 ",49.815273,6.129583,Luxembourg,LUX,Member State,LUX,Luxembourg,Europe,Western Europe,LU,Luxembourg
LV,"3751.161 ","3908.282 ","3732.245 ",3776.066,3680.167,3697.443,3875.195,4024.765,3924.687,"3798.185 ","3980.292 ","3821.053 ",56.879635,24.603189,Lettonie,LVA,Member State,LVA,Latvia,Europe,Northern Europe,LV,Lettonie
MD,"2336.770 ","2267.918 ","2294.391 ",2295.133,2357.098,2457.919,2589.822,2684.563,2580.369,"2480.676 ","2759.055 ","2443.491 ",47.411631,28.369885,Moldavie,MDA,Member State,MDA,"Moldova, Republic of",Europe,Eastern Europe,MD,République de Moldova
ME,"719.280 ","698.970 ","640.991 ",628.575,662.644,688.761,728.889,729.633,760.625,"696.840 ","796.294 ","752.609 ",42.708678,19.37439,Monténégro,MNE,Member State,MNE,Montenegro,Europe,Southern Europe,ME,Monténégro
MK,"1903.210 ","1845.693 ","1814.802 ",1797.481,1837.589,1847.733,1858.961,1832.761,1937.818,"1814.178 ","1968.877 ","1812.605 ",41.608635,21.745275,Macédoine du Nord,MKD,Member State,MKD,The former Yugoslav Republic of Macedonia,Europe,Southern Europe,MK,Macédoine du Nord
MT,"388.461 ","407.257 ","421.114 ",435.716,462.343,458.759,492.38,514.389,545.428,"500.753 ","525.035 ","591.370 ",35.937496,14.375416,Malte,MLT,Member State,MLT,Malta,Europe,Southern Europe,MT,Malte
NL,"46828.589 ","47027.156 ","46898.823 ",42352.359,43376.614,44357.793,44555.075,44904.181,44133.779,"41872.517 ","43214.956 ","39392.365 ",52.132633,5.291266,Pays-Bas,NLD,Member State,NLD,Netherlands,Europe,Western Europe,NL,Pays-Bas
PL,"63610.484 ","63257.875 ","62106.266 ",60203.43,60861.494,65136.465,69241.05,73082.654,71890.699,"70231.513 ","74187.097 ","71228.668 ",51.919438,19.145136,Pologne,POL,Member State,POL,Poland,Europe,Eastern Europe,PL,Pologne
PT,"16441.254 ","15111.588 ","14908.318 ",15386.388,15550.875,15640.739,15900.697,16152.622,16354.725,"15156.570 ","15772.048 ","16170.756 ",39.399872,-8.224454,Portugal,PRT,Member State,PRT,Portugal,Europe,Southern Europe,PT,Portugal
RO,"22590.604 ","22629.168 ","21631.325 ",21470.367,21600.24,21935.25,22980.154,23444.791,23712.653,"23472.380 ","25279.750 ","23919.775 ",45.943161,24.96676,Roumanie,ROU,Member State,ROU,Romania,Europe,Eastern Europe,RO,Roumanie
RS,"9082.112 ","8412.293 ","8201.681 ",7681.742,7885.89,8206.334,8363.238,8435.035,8387.52,"8715.951 ","9268.268 ","9491.229 ",44.016521,21.005859,Serbie,SRB,Member State,SRB,Serbia,Europe,Southern Europe,RS,Serbie
SE,"32064.667 ","32311.573 ","31671.579 ",30928.825,31510.948,32037.681,31849.848,31729.198,31304.164,"31019.209 ","32156.109 ","31202.144 ",60.128161,18.643501,Suède,SWE,Member State,SWE,Sweden,Europe,Northern Europe,SE,Suède
SI,"5037.235 ","4909.818 ","4804.230 ",4608.016,4715.243,4893.658,4958.98,4952.698,4862.689,"4445.871 ","4767.622 ","4754.182 ",46.151241,14.995463,Slovénie,SVN,Member State,SVN,Slovenia,Europe,Southern Europe,SI,Slovénie
SK,"10402.286 ","9948.967 ","10107.882 ",9113.614,9525.304,9884.214,10538.548,10400.003,10242.955,"9611.131 ","10508.333 ","9915.221 ",48.669026,19.699024,Slovaquie,SVK,Member State,SVK,Slovakia,Europe,Eastern Europe,SK,Slovaquie
UA,"69646.492 ","66404.075 ","65144.066 ",57893.824,47488.152,48826.188,47345.792,48417.734,46886.431,"44184.237 ",: ,: ,48.379433,31.16558,Ukraine,UKR,Member State,UKR,Ukraine,Europe,Eastern Europe,UA,Ukraine
XK,"1266.098 ","1219.372 ","1167.578 ",1230.7,1339.928,1433.037,1516.064,1471.026,1515.131,"1524.673 ","1659.361 ","1486.983 ",42.602636,20.902977,Kosovo,SRB,Member State,SRB,Serbia,Europe,Southern Europe,RS,Serbie
AL,"379.510 ","276.839 ","281.451 ",372.768,301.176,285.923,405.514,457.432,366.407,"385.240 ","446.307 ","430.752 ",41.153332,20.168331,Albanie,ALB,Member State,ALB,Albania,Europe,Southern Europe,AL,Albanie
AT,"7594.313 ","7652.596 ","7494.580 ",7340.552,7363.897,7608.447,7629.156,7563.291,7542.285,"7247.230 ","7540.048 ","7619.810 ",47.516231,14.550072,Autriche,AUT,Member State,AUT,Austria,Europe,Western Europe,AT,Autriche
BA,: ,: ,: ,717.286,756.627,754.104,828.931,863.498,752.725,"600.610 ","703.358 ","664.959 ",43.915886,17.679076,Bosnie-Herzégovine,BIH,Member State,BIH,Bosnia & Herzegovina,Europe,Southern Europe,BA,Bosnie-Herzégovine
BE,"10559.996 ","10534.388 ","10771.870 ",10565.653,10577.956,10631.382,10443.973,10680.29,10310.041,"10003.809 ","10578.786 ","9580.574 ",50.503887,4.469936,Belgique,BEL,Member State,BEL,Belgium,Europe,Western Europe,BE,Belgique
BG,"2696.440 ","2566.576 ","2595.527 ",2617.523,2719.641,2655.459,2757.516,2736.144,2678.806,"2646.350 ","2823.820 ","2700.703 ",42.733883,25.48583,Bulgarie,BGR,Member State,BGR,Bulgaria,Europe,Eastern Europe,BG,Bulgarie
CZ,"6771.988 ","6726.299 ","6426.744 ",6331.755,6477.94,6412.09,6734.121,6699.106,6618.619,"6567.069 ","7013.271 ","6613.950 ",49.817492,15.472962,République tchèque,CZE,Member State,CZE,Czech Republic,Europe,Eastern Europe,CZ,République tchèque
DE,"57409.744 ","56712.955 ","56347.486 ",55725.644,56067.59,56677.082,57146.089,57090.092,55649.346,"54762.640 ","56214.334 ","53449.375 ",51.165691,10.451526,Allemagne,DEU,Member State,DEU,Germany,Europe,Western Europe,DE,Allemagne
DK,"2442.284 ","2303.364 ","2179.385 ",2120.599,2109.385,2165.623,2284.765,2314.636,2257.716,"2304.374 ","2474.736 ","2368.076 ",56.26392,9.501785,Danemark,DNK,Member State,DNK,Denmark,Europe,Northern Europe,DK,Danemark
EE,"586.045 ","564.247 ","639.597 ",555.819,535.033,457.757,462.926,485.921,459.307,"408.037 ","383.584 ","358.400 ",58.595272,25.013607,Estonie,EST,Member State,EST,Estonia,Europe,Northern Europe,EE,Estonie
ES,"20627.827 ","20107.728 ","19601.617 ",19311.864,18691.281,19897.234,20394.457,20666.439,20642.726,"18838.478 ","20164.098 ","17946.563 ",40.463667,-3.74922,Espagne,ESP,Member State,ESP,Spain,Europe,Southern Europe,ES,Espagne
FI,"10517.329 ","10233.196 ","10270.024 ",10218.642,10156.882,10500.774,10699.835,11038.16,10980.155,"10257.530 ","10760.748 ","9751.523 ",61.92411,25.748151,Finlande,FIN,Member State,FIN,Finland,Europe,Northern Europe,FI,Finlande
FR,"29453.648 ","29303.531 ","29273.927 ",27952.958,27584.304,28228.524,27216.28,27264.789,26954.699,"24767.384 ","26707.221 ","25302.137 ",46.227638,2.213749,France,FRA,Member State,FRA,France,Europe,Western Europe,FR,France
HR,"1246.111 ","1099.202 ","1075.141 ",1066.433,1056.141,1057.427,1148.118,1161.853,1172.434,"1171.272 ","1191.359 ","1128.479 ",45.1,15.2,Croatie,HRV,Member State,HRV,Croatia,Europe,Southern Europe,HR,Croatie
HU,"2998.149 ","3182.392 ","3725.701 ",3705.025,3867.221,3988.299,4282.774,4453.878,4459.617,"4421.598 ","4729.286 ","4308.435 ",47.162494,19.503304,Hongrie,HUN,Member State,HUN,Hungary,Europe,Eastern Europe,HU,Hongrie
IE,"1729.117 ","1763.970 ","1842.499 ",1993.993,1994.355,2059.829,2125.162,2179.535,2167.586,"2172.979 ","2245.914 ","2138.484 ",53.41291,-8.24389,Irlande,IRL,Member State,IRL,Ireland,Europe,Northern Europe,IE,Irlande
IS,"1324.183 ","1359.322 ","1424.410 ",1442.055,1460.048,1344.211,1394.304,1401.396,1315.423,"1298.431 ","1330.123 ",: ,64.963051,-19.020835,Islande,ISL,Member State,ISL,Iceland,Europe,Northern Europe,IS,Islande
IT,"27744.858 ","26948.704 ","25353.587 ",24739.085,24853.372,25088.949,24925.749,24663.854,24928.486,"23861.103 ","26438.993 ","24626.605 ",41.87194,12.56738,Italie,ITA,Member State,ITA,Italy,Europe,Southern Europe,IT,Italie
LT,"1013.346 ","1071.759 ","1037.327 ",1033.722,982.755,988.969,1070.927,1106.588,1113.763,"1024.340 ","1109.164 ","953.872 ",55.169438,23.881275,Lituanie,LTU,Member State,LTU,Lithuania,Europe,Northern Europe,LT,Lituanie
LU,"738.941 ","693.133 ","662.241 ",662.991,645.852,672.673,630.695,648.871,631.731,"580.655 ","607.076 ","542.792 ",49.815273,6.129583,Luxembourg,LUX,Member State,LUX,Luxembourg,Europe,Western Europe,LU,Luxembourg
LV,"747.755 ","827.436 ","767.643 ",791.158,787.78,748.954,793.356,897.892,852.758,"870.923 ","894.162 ","906.001 ",56.879635,24.603189,Lettonie,LVA,Member State,LVA,Latvia,Europe,Northern Europe,LV,Lettonie
MD,"232.392 ","234.103 ","250.298 ",227.156,212.33,196.056,211.736,248.859,231.5,"224.167 ","246.109 ","213.867 ",47.411631,28.369885,Moldavie,MDA,Member State,MDA,"Moldova, Republic of",Europe,Eastern Europe,MD,République de Moldova
ME,"226.735 ","203.208 ","183.351 ",133.191,131.817,120.024,139.009,135.524,137.222,"133.129 ","138.656 ","89.434 ",42.708678,19.37439,Monténégro,MNE,Member State,MNE,Montenegro,Europe,Southern Europe,ME,Monténégro
MK,"633.919 ","579.083 ","555.332 ",517.614,474.779,441.263,388.256,412.335,450.049,"461.198 ","484.170 ","378.096 ",41.608635,21.745275,Macédoine du Nord,MKD,Member State,MKD,The former Yugoslav Republic of Macedonia,Europe,Southern Europe,MK,Macédoine du Nord
MT,"39.867 ","43.762 ","52.230 ",55.495,55.139,54.925,57.156,58.835,61.017,"66.241 ","70.032 ","73.998 ",35.937496,14.375416,Malte,MLT,Member State,MLT,Malta,Europe,Southern Europe,MT,Malte
NL,"13779.768 ","13558.768 ","13350.828 ",13080.793,13102.77,13757.587,13725.511,13606.539,13225.131,"13208.425 ","13221.255 ","12259.638 ",52.132633,5.291266,Pays-Bas,NLD,Member State,NLD,Netherlands,Europe,Western Europe,NL,Pays-Bas
PL,"13961.482 ","13733.264 ","14210.705 ",14153.252,14095.62,14652.42,15819.88,16327.935,16492.204,"15921.165 ","16274.112 ","15074.146 ",51.919438,19.145136,Pologne,POL,Member State,POL,Poland,Europe,Eastern Europe,PL,Pologne
PT,"5351.641 ","4606.171 ","4598.647 ",4405.499,4411.521,4381.447,4525.297,4553.901,4618.128,"4447.539 ","4531.067 ","4496.542 ",39.399872,-8.224454,Portugal,PRT,Member State,PRT,Portugal,Europe,Southern Europe,PT,Portugal
RO,"7059.692 ","6748.255 ","6272.845 ",6427.425,6418.898,6263.796,6437.729,6612.433,6661.063,"6437.031 ","6856.343 ","5739.746 ",45.943161,24.96676,Roumanie,ROU,Member State,ROU,Romania,Europe,Eastern Europe,RO,Roumanie
RS,"2740.411 ","2463.907 ","2395.892 ",1955.714,2046.578,2174.093,2266.02,2397.904,2211.385,"2025.761 ","2119.302 ","2241.068 ",44.016521,21.005859,Serbie,SRB,Member State,SRB,Serbia,Europe,Southern Europe,RS,Serbie
SE,"11290.404 ","11244.099 ","11029.728 ",10799.075,11019.17,10971.244,10917.194,11013.378,10891.752,"11154.427 ","11120.715 ","11149.800 ",60.128161,18.643501,Suède,SWE,Member State,SWE,Sweden,Europe,Northern Europe,SE,Suède
SI,"1236.892 ","1207.414 ","1197.651 ",1231.213,1228.021,1242.337,1295.612,1319.176,1322.08,"1256.408 ","1294.263 ","1180.886 ",46.151241,14.995463,Slovénie,SVN,Member State,SVN,Slovenia,Europe,Southern Europe,SI,Slovénie
SK,"3255.331 ","3233.817 ","3114.817 ",3241.628,3333.371,3308.576,3452.442,3662.539,3463.68,"3138.177 ","3382.392 ","3167.959 ",48.669026,19.699024,Slovaquie,SVK,Member State,SVK,Slovakia,Europe,Eastern Europe,SK,Slovaquie
UA,"25810.737 ","23981.954 ","21841.758 ",20568.374,16377.631,15512.409,15094.859,16416.222,16126.577,"15979.570 ",: ,: ,48.379433,31.16558,Ukraine,UKR,Member State,UKR,Ukraine,Europe,Eastern Europe,UA,Ukraine
XK,"307.986 ","273.752 ","262.900 ",245.253,307.181,281.257,313.24,281.795,299.97,"302.386 ","328.236 ","298.264 ",42.602636,20.902977,Kosovo,SRB,Member State,SRB,Serbia,Europe,Southern Europe,RS,Serbie
AL,"163.473 ","157.272 ","190.984 ",179.239,196.853,179.284,213.604,215.22,228.317,"194.243 ","218.788 ","215.183 ",41.153332,20.168331,Albanie,ALB,Member State,ALB,Albania,Europe,Southern Europe,AL,Albanie
AT,"2555.046 ","2553.096 ","2551.659 ",2423.488,2478.518,2425.01,2638.262,2579.022,2637.368,"2429.222 ","2602.655 ","2522.643 ",47.516231,14.550072,Autriche,AUT,Member State,AUT,Austria,Europe,Western Europe,AT,Autriche
BA,: ,: ,: ,163.649,357.703,435.411,355.631,348.522,407.073,"377.628 ","386.339 ","408.693 ",43.915886,17.679076,Bosnie-Herzégovine,BIH,Member State,BIH,Bosnia & Herzegovina,Europe,Southern Europe,BA,Bosnie-Herzégovine
BE,"4409.540 ","4623.398 ","4909.613 ",4251.465,4618.204,4646.705,4634.866,4656.113,4599.421,"4403.378 ","4543.449 ","3988.677 ",50.503887,4.469936,Belgique,BEL,Member State,BEL,Belgium,Europe,Western Europe,BE,Belgique
BG,"1089.740 ","1069.698 ","1029.822 ",992.002,1078.658,1157.041,1167.156,1231.216,1268.032,"1066.112 ","1299.854 ","1343.362 ",42.733883,25.48583,Bulgarie,BGR,Member State,BGR,Bulgaria,Europe,Eastern Europe,BG,Bulgarie
CZ,"3132.559 ","3039.527 ","3010.066 ",2922.578,2977.367,3091.444,3180.772,3127.767,3191.895,"2987.130 ","2966.844 ","2894.197 ",49.817492,15.472962,République tchèque,CZE,Member State,CZE,Czech Republic,Europe,Eastern Europe,CZ,République tchèque
DE,"30735.597 ","32027.815 ","33549.528 ",30766.034,32289.872,31865.517,31837.801,28892.812,27533.764,"26842.069 ","30013.224 ","25459.838 ",51.165691,10.451526,Allemagne,DEU,Member State,DEU,Germany,Europe,Western Europe,DE,Allemagne
DK,"1947.908 ","1978.525 ","1964.476 ",1847.314,1896.036,1946.894,1991.014,1964.71,1907.442,"1804.441 ","2048.753 ","1912.994 ",56.26392,9.501785,Danemark,DNK,Member State,DNK,Denmark,Europe,Northern Europe,DK,Danemark
EE,"402.178 ","423.520 ","417.892 ",457.642,465.395,498.236,466.591,490.285,462.14,"467.154 ","511.934 ","455.451 ",58.595272,25.013607,Estonie,EST,Member State,EST,Estonia,Europe,Northern Europe,EE,Estonie
ES,"10221.484 ","10104.210 ","9667.769 ",8933.937,9511.993,9830.589,10132.767,10287.346,10346.442,"9558.346 ","10084.105 ","10073.944 ",40.463667,-3.74922,Espagne,ESP,Member State,ESP,Spain,Europe,Southern Europe,ES,Espagne
FI,"2869.159 ","3032.099 ","2908.404 ",2892.419,2739.31,2892.622,2962.161,3080.921,3017.291,"2777.294 ","3082.529 ","2971.921 ",61.92411,25.748151,Finlande,FIN,Member State,FIN,Finland,Europe,Northern Europe,FI,Finlande
FR,"21081.587 ","22596.139 ","23298.494 ",21421.58,22288.412,22403.786,22752.085,22647.373,22181.418,"20653.365 ","22000.170 ","20199.086 ",46.227638,2.213749,France,FRA,Member State,FRA,France,Europe,Western Europe,FR,France
HR,"786.568 ","758.306 ","740.881 ",693.717,763.679,780.992,818.061,832.935,835.886,"757.788 ","848.096 ","808.947 ",45.1,15.2,Croatie,HRV,Member State,HRV,Croatia,Europe,Southern Europe,HR,Croatie
HU,"3053.612 ","2353.881 ","2337.107 ",2114.78,2203.657,2183.456,2154.189,2098.672,2050.439,"2000.195 ","2074.148 ","1918.798 ",47.162494,19.503304,Hongrie,HUN,Member State,HUN,Hungary,Europe,Eastern Europe,HU,Hongrie
IE,"1454.291 ","1473.853 ","1510.840 ",1452.893,1567.222,1592.827,1600.322,1763.785,1803.573,"1714.293 ","1747.619 ","1866.620 ",53.41291,-8.24389,Irlande,IRL,Member State,IRL,Ireland,Europe,Northern Europe,IE,Irlande
