geo,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,pays_coordonnées_latitude,pays_coordonnées_longitude,pays_coordonnées_name (nom),iso3,status,color_code,name,continent,region,iso_3166_1,french_sho
IS,"301.744 ","324.883 ","333.381 ",363.777,396.585,422.665,399.349,511.896,529.921,"490.332 ","499.584 ",: ,64.963051,-19.020835,Islande,ISL,Member State,ISL,Iceland,Europe,Northern Europe,IS,Islande
IT,"15751.376 ","15930.534 ","15846.527 ",14666.679,15391.466,15439.966,18242.166,19002.194,18192.3,"16557.570 ","16805.552 ","16137.505 ",41.87194,12.56738,Italie,ITA,Member State,ITA,Italy,Europe,Southern Europe,IT,Italie
LT,"583.961 ","610.064 ","593.023 ",585.668,574.923,602.552,633.867,651.177,626.707,"576.205 ","646.668 ","623.744 ",55.169438,23.881275,Lituanie,LTU,Member State,LTU,Lithuania,Europe,Northern Europe,LT,Lituanie
LU,"339.836 ","383.672 ","399.689 ",353.432,396.759,399.966,449.066,460.683,519.37,"496.040 ","554.895 ","452.295 ",49.815273,6.129583,Luxembourg,LUX,Member State,LUX,Luxembourg,Europe,Western Europe,LU,Luxembourg
LV,"556.709 ","623.331 ","600.446 ",608.772,586.308,592.494,607.014,592.045,568.824,"550.364 ","600.830 ","572.603 ",56.879635,24.603189,Lettonie,LVA,Member State,LVA,Latvia,Europe,Northern Europe,LV,Lettonie
MD,"270.670 ","269.477 ","258.252 ",237.402,246.475,258.611,256.417,273.302,263.068,"245.099 ","281.123 ","256.361 ",47.411631,28.369885,Moldavie,MDA,Member State,MDA,"Moldova, Republic of",Europe,Eastern Europe,MD,République de Moldova
ME,"8.460 ","8.622 ","13.741 ",68.962,70.372,79.372,86.454,87.81,108.855,"89.757 ","101.082 ","109.635 ",42.708678,19.37439,Monténégro,MNE,Member State,MNE,Montenegro,Europe,Southern Europe,ME,Monténégro
MK,"206.178 ","228.654 ","201.851 ",196.034,211.872,212.935,214.63,210.231,211.521,"181.460 ","197.849 ","176.693 ",41.608635,21.745275,Macédoine du Nord,MKD,Member State,MKD,The former Yugoslav Republic of Macedonia,Europe,Southern Europe,MK,Macédoine du Nord
MT,"88.007 ","100.415 ","103.516 ",110.711,120.944,118.292,128.355,119.646,122.568,"106.366 ","112.144 ","127.723 ",35.937496,14.375416,Malte,MLT,Member State,MLT,Malta,Europe,Southern Europe,MT,Malte
NL,"7094.693 ","7344.965 ","7357.526 ",6502.125,6824.263,6841.615,6960.268,6937.046,6762.442,"6405.198 ","6624.036 ","6249.810 ",52.132633,5.291266,Pays-Bas,NLD,Member State,NLD,Netherlands,Europe,Western Europe,NL,Pays-Bas
PL,"8429.508 ","8363.910 ","8078.737 ",7788.309,7842.278,8502.869,8044.474,7928.559,7808.047,"7561.151 ","8393.796 ","8158.385 ",51.919438,19.145136,Pologne,POL,Member State,POL,Poland,Europe,Eastern Europe,PL,Pologne
PT,"1856.353 ","1843.417 ","1786.725 ",2284.617,2356.381,2289.624,2301.406,2380.554,2359.195,"2161.553 ","2191.033 ","2391.016 ",39.399872,-8.224454,Portugal,PRT,Member State,PRT,Portugal,Europe,Southern Europe,PT,Portugal
RO,"1774.282 ","1763.099 ","1784.900 ",1768.388,1761.969,1806.394,1858.427,1976.15,1962.137,"1834.290 ","1854.128 ","1908.080 ",45.943161,24.96676,Roumanie,ROU,Member State,ROU,Romania,Europe,Eastern Europe,RO,Roumanie
RS,"1046.670 ","834.956 ","803.644 ",772.362,874.646,886.372,939.812,891.441,863.097,"855.941 ","950.025 ","1001.664 ",44.016521,21.005859,Serbie,SRB,Member State,SRB,Serbia,Europe,Southern Europe,RS,Serbie
SE,"3864.910 ","4046.355 ","3958.982 ",3960.473,4022.234,4216.875,3991.218,4120.828,4024.796,"4007.556 ","4263.473 ","4213.808 ",60.128161,18.643501,Suède,SWE,Member State,SWE,Sweden,Europe,Northern Europe,SE,Suède
SI,"531.470 ","453.358 ","467.775 ",427.211,454.503,492.427,480.68,474.453,451.994,"418.343 ","421.098 ","415.016 ",46.151241,14.995463,Slovénie,SVN,Member State,SVN,Slovenia,Europe,Southern Europe,SI,Slovénie
SK,"1601.718 ","1451.245 ","1710.558 ",1233.318,1299.549,1308.325,1426.737,1314.726,1222.506,"1108.698 ","1408.624 ","1276.824 ",48.669026,19.699024,Slovaquie,SVK,Member State,SVK,Slovakia,Europe,Eastern Europe,SK,Slovaquie
UA,"5129.446 ","5006.804 ","5767.651 ",4664.962,3888.355,4671.814,4336.853,4720.627,4832.831,"4869.916 ",: ,: ,48.379433,31.16558,Ukraine,UKR,Member State,UKR,Ukraine,Europe,Eastern Europe,UA,Ukraine
XK,"117.913 ","117.736 ","115.457 ",139.135,148.344,177.055,191.548,154.605,163.882,"158.241 ","172.957 ","166.051 ",42.602636,20.902977,Kosovo,SRB,Member State,SRB,Serbia,Europe,Southern Europe,RS,Serbie
AL,"498.280 ","509.086 ","580.003 ",556.243,532.287,496.35,492.58,510.484,504.986,"538.642 ","548.630 ","524.447 ",41.153332,20.168331,Albanie,ALB,Member State,ALB,Albania,Europe,Southern Europe,AL,Albanie
AT,"6551.505 ","6677.819 ","6911.132 ",6239.87,6631.937,6919.098,6955.601,6531.091,6687.86,"6962.264 ","7799.125 ","6642.483 ",47.516231,14.550072,Autriche,AUT,Member State,AUT,Austria,Europe,Western Europe,AT,Autriche
BA,: ,: ,: ,980.816,1113.03,1139.361,1045.641,1719.424,1686.605,"1800.155 ","1787.670 ","1840.954 ",43.915886,17.679076,Bosnie-Herzégovine,BIH,Member State,BIH,Bosnia & Herzegovina,Europe,Southern Europe,BA,Bosnie-Herzégovine
BE,"8028.571 ","8500.211 ","9131.306 ",7462.298,8239.523,8284.103,8157.115,8075.811,7877.03,"7879.855 ","8592.185 ","7299.413 ",50.503887,4.469936,Belgique,BEL,Member State,BEL,Belgium,Europe,Western Europe,BE,Belgique
BG,"2374.281 ","2352.559 ","2241.036 ",2164.991,2192.912,2252.111,2318.715,2229.672,2162.252,"2382.245 ","2402.572 ","2137.397 ",42.733883,25.48583,Bulgarie,BGR,Member State,BGR,Bulgaria,Europe,Eastern Europe,BG,Bulgarie
CZ,"6863.723 ","7115.570 ","7269.133 ",6554.173,6769.51,7090.172,7202.965,7042.708,6963.387,"7148.052 ","7864.166 ","7156.714 ",49.817492,15.472962,République tchèque,CZE,Member State,CZE,Czech Republic,Europe,Eastern Europe,CZ,République tchèque
DE,"56020.249 ","59188.124 ","62517.628 ",53648.149,54959.824,56963.58,56777.115,55822.36,57743.03,"57979.779 ","57672.167 ","57315.123 ",51.165691,10.451526,Allemagne,DEU,Member State,DEU,Germany,Europe,Western Europe,DE,Allemagne
DK,"4496.279 ","4444.462 ","4484.143 ",4146.276,4442.021,4585.48,4501.325,4453.115,4392.161,"4277.234 ","4523.014 ","4027.803 ",56.26392,9.501785,Danemark,DNK,Member State,DNK,Denmark,Europe,Northern Europe,DK,Danemark
EE,"935.253 ","970.828 ","933.506 ",888.143,857.435,930.578,940.914,941.042,951.351,"944.704 ","965.256 ","963.880 ",58.595272,25.013607,Estonie,EST,Member State,EST,Estonia,Europe,Northern Europe,EE,Estonie
ES,"15633.895 ","15530.469 ","14888.925 ",14787.31,15269.842,14331.695,14392.022,15178.832,14445.322,"14555.763 ","14742.625 ","14279.433 ",40.463667,-3.74922,Espagne,ESP,Member State,ESP,Spain,Europe,Southern Europe,ES,Espagne
FI,"5091.152 ","5455.635 ","5172.734 ",5126.2,4950.975,5342.235,5761.435,5691.11,5631.035,"5284.813 ","5962.385 ","5642.879 ",61.92411,25.748151,Finlande,FIN,Member State,FIN,Finland,Europe,Northern Europe,FI,Finlande
FR,"39799.275 ","43767.865 ","46061.145 ",37943.063,40237.889,42183.498,41493.099,40282.07,40115.77,"39160.043 ","42230.566 ","37227.572 ",46.227638,2.213749,France,FRA,Member State,FRA,France,Europe,Western Europe,FR,France
HR,"2643.500 ","2561.304 ","2493.453 ",2228.532,2429.916,2409.158,2392.72,2298.895,2238.586,"2277.143 ","2441.870 ","2286.359 ",45.1,15.2,Croatie,HRV,Member State,HRV,Croatia,Europe,Southern Europe,HR,Croatie
HU,"6569.577 ","6375.847 ","6209.747 ",5487.452,5969.813,6156.505,6294.138,5818.115,5676.869,"5980.487 ","6374.400 ","5818.606 ",47.162494,19.503304,Hongrie,HUN,Member State,HUN,Hungary,Europe,Eastern Europe,HU,Hongrie
IE,"3192.938 ","3037.789 ","2959.241 ",2675.522,2844.291,2944.351,2858.458,3045.873,2970.883,"3229.896 ","3104.873 ","2737.238 ",53.41291,-8.24389,Irlande,IRL,Member State,IRL,Ireland,Europe,Northern Europe,IE,Irlande
IS,"370.818 ","400.502 ","399.164 ",384.692,392.234,423.296,422.526,505.489,454.055,"482.238 ","500.798 ",: ,64.963051,-19.020835,Islande,ISL,Member State,ISL,Iceland,Europe,Northern Europe,IS,Islande
IT,"32378.063 ","34348.336 ","34230.620 ",29545.98,32494.483,32185.101,32898.639,31905.559,31138.335,"30655.992 ","33389.652 ","30043.220 ",41.87194,12.56738,Italie,ITA,Member State,ITA,Italy,Europe,Southern Europe,IT,Italie
LT,"1532.207 ","1534.798 ","1467.198 ",1400.9,1359.131,1433.211,1455.374,1511.606,1447.177,"1433.361 ","1629.694 ","1558.114 ",55.169438,23.881275,Lituanie,LTU,Member State,LTU,Lithuania,Europe,Northern Europe,LT,Lituanie
LU,"477.528 ","490.129 ","498.056 ",468.025,508.946,525.178,535.579,500.588,463.298,"498.301 ","480.232 ","457.529 ",49.815273,6.129583,Luxembourg,LUX,Member State,LUX,Luxembourg,Europe,Western Europe,LU,Luxembourg
LV,"1327.389 ","1376.240 ","1267.242 ",1238.471,1105.582,1143.483,1195.604,1231.009,1187.967,"1115.366 ","1202.956 ","1112.212 ",56.879635,24.603189,Lettonie,LVA,Member State,LVA,Latvia,Europe,Northern Europe,LV,Lettonie
MD,"1137.092 ","1155.360 ","1147.203 ",1169.757,1179.946,1233.669,1316.751,1338.83,1236.74,"1203.437 ","1316.674 ","1072.230 ",47.411631,28.369885,Moldavie,MDA,Member State,MDA,"Moldova, Republic of",Europe,Eastern Europe,MD,République de Moldova
ME,"268.887 ","281.347 ","269.251 ",256.273,265.421,264.617,263.151,248.017,243.959,"243.169 ","257.803 ","248.872 ",42.708678,19.37439,Monténégro,MNE,Member State,MNE,Montenegro,Europe,Southern Europe,ME,Monténégro
MK,"567.027 ","559.010 ","519.019 ",523.579,531.06,491.613,529.132,483.576,492.266,"508.560 ","527.087 ","493.981 ",41.608635,21.745275,Macédoine du Nord,MKD,Member State,MKD,The former Yugoslav Republic of Macedonia,Europe,Southern Europe,MK,Macédoine du Nord
MT,"68.760 ","72.178 ","73.999 ",73.904,79.865,77.575,91.096,93.033,101.528,"105.933 ","109.498 ","114.408 ",35.937496,14.375416,Malte,MLT,Member State,MLT,Malta,Europe,Southern Europe,MT,Malte
NL,"10280.980 ","10866.787 ","11412.549 ",9116.954,9508.985,9787.441,9559.92,9527.247,9306.997,"9090.383 ","10069.722 ","8566.457 ",52.132633,5.291266,Pays-Bas,NLD,Member State,NLD,Netherlands,Europe,Western Europe,NL,Pays-Bas
PL,"20130.337 ","20812.831 ","20492.342 ",19034.91,19032.33,19886.419,20063.013,22557.493,20993.899,"21101.347 ","22145.579 ","20775.048 ",51.919438,19.145136,Pologne,POL,Member State,POL,Poland,Europe,Eastern Europe,PL,Pologne
PT,"2777.129 ","2694.958 ","2634.808 ",2776.692,2751.749,2819.484,2801.785,2877.758,2891.348,"3014.190 ","3022.524 ","2965.934 ",39.399872,-8.224454,Portugal,PRT,Member State,PRT,Portugal,Europe,Southern Europe,PT,Portugal
RO,"7859.678 ","8060.582 ","7721.970 ",7409.681,7375.183,7414.92,7732.038,7775.08,7753.283,"8007.426 ","8764.871 ","7894.699 ",45.943161,24.96676,Roumanie,ROU,Member State,ROU,Romania,Europe,Eastern Europe,RO,Roumanie
RS,"3134.547 ","3122.404 ","2846.752 ",2752.802,2826.152,2924.237,2853.554,2838.427,2854.671,"3488.068 ","3555.492 ","3426.410 ",44.016521,21.005859,Serbie,SRB,Member State,SRB,Serbia,Europe,Southern Europe,RS,Serbie
SE,"7681.810 ","8053.653 ","7694.262 ",7229.333,7411.176,7659.147,7696.829,7490.34,7363.914,"7182.148 ","7878.771 ","7061.936 ",60.128161,18.643501,Suède,SWE,Member State,SWE,Sweden,Europe,Northern Europe,SE,Suède
SI,"1302.665 ","1255.831 ","1240.442 ",1060.707,1166.185,1186.482,1156.364,1084.519,1057.452,"1090.014 ","1160.005 ","1046.416 ",46.151241,14.995463,Slovénie,SVN,Member State,SVN,Slovenia,Europe,Southern Europe,SI,Slovénie
SK,"2790.822 ","2820.587 ","2842.735 ",2325.037,2573.288,2688.692,2744.162,2546.007,2637.679,"2744.571 ","2966.314 ","2686.513 ",48.669026,19.699024,Slovaquie,SVK,Member State,SVK,Slovakia,Europe,Eastern Europe,SK,Slovaquie
UA,"23587.848 ","23454.289 ","23446.497 ",20357.427,16551.87,17348.751,16483.165,15986.088,14015.7,"13654.325 ",: ,: ,48.379433,31.16558,Ukraine,UKR,Member State,UKR,Ukraine,Europe,Eastern Europe,UA,Ukraine
XK,"491.178 ","474.234 ","494.163 ",479.943,476.388,549.413,571.465,573.404,586.881,"608.818 ","655.497 ","555.070 ",42.602636,20.902977,Kosovo,SRB,Member State,SRB,Serbia,Europe,Southern Europe,RS,Serbie
AL,"768.010 ","737.022 ","804.074 ",833.978,829.298,832.543,831.899,832.167,834.858,"603.439 ","677.581 ","674.858 ",41.153332,20.168331,Albanie,ALB,Member State,ALB,Albania,Europe,Southern Europe,AL,Albanie
AT,"7874.596 ","7792.365 ","8294.925 ",8228.068,8464.597,8598.512,8724.365,8836.593,8830.326,"7713.848 ","7979.024 ","7522.505 ",47.516231,14.550072,Autriche,AUT,Member State,AUT,Austria,Europe,Western Europe,AT,Autriche
BA,: ,: ,: ,988.905,1030.976,1196.912,1248.92,1238.269,1322.151,"1199.146 ","1376.913 ","1322.062 ",43.915886,17.679076,Bosnie-Herzégovine,BIH,Member State,BIH,Bosnia & Herzegovina,Europe,Southern Europe,BA,Bosnie-Herzégovine
BE,"8808.089 ","8551.750 ","8397.042 ",8527.363,8911.393,9006.46,8858.199,8900.845,8819.183,"7715.352 ","8528.090 ","8660.689 ",50.503887,4.469936,Belgique,BEL,Member State,BEL,Belgium,Europe,Western Europe,BE,Belgique
BG,"2759.922 ","2914.390 ","2620.341 ",2916.487,3211.585,3268.077,3324.915,3374.736,3413.546,"3209.758 ","3434.583 ","3468.082 ",42.733883,25.48583,Bulgarie,BGR,Member State,BGR,Bulgaria,Europe,Eastern Europe,BG,Bulgarie
CZ,"5935.592 ","5788.889 ","5738.681 ",5948.768,6195.22,6417.093,6617.264,6659.891,6778.778,"6378.679 ","6767.571 ","6925.284 ",49.817492,15.472962,République tchèque,CZE,Member State,CZE,Czech Republic,Europe,Eastern Europe,CZ,République tchèque
DE,"53638.674 ","53259.098 ","54240.042 ",55445.775,55144.756,56556.589,57247.225,55470.398,56220.462,"51000.996 ","49902.777 ","50481.621 ",51.165691,10.451526,Allemagne,DEU,Member State,DEU,Germany,Europe,Western Europe,DE,Allemagne
DK,"4340.785 ","4064.792 ","3996.957 ",4031.34,4217.28,4274.701,4264.797,4308.604,4236.978,"3937.535 ","4022.590 ","3984.139 ",56.26392,9.501785,Danemark,DNK,Member State,DNK,Denmark,Europe,Northern Europe,DK,Danemark
EE,"749.262 ","757.812 ","739.198 ",741.51,760.004,776.895,803.862,834.796,839.841,"795.628 ","840.249 ","845.746 ",58.595272,25.013607,Estonie,EST,Member State,EST,Estonia,Europe,Northern Europe,EE,Estonie
ES,"32475.680 ","29798.111 ","28203.413 ",28427.13,29439.41,30631.963,31749.555,32513.6,32915.106,"26059.067 ","30350.056 ","32477.593 ",40.463667,-3.74922,Espagne,ESP,Member State,ESP,Spain,Europe,Southern Europe,ES,Espagne
FI,"4300.510 ","4197.694 ","4209.977 ",4113.791,4105.519,4180.495,4194.818,4241.568,4178.021,"3882.493 ","4023.489 ","3856.903 ",61.92411,25.748151,Finlande,FIN,Member State,FIN,Finland,Europe,Northern Europe,FI,Finlande
FR,"45153.564 ","45023.417 ","44716.433 ",44988.973,45469.855,45626.226,46005.648,45118.412,45053.958,"38012.420 ","42649.553 ","44511.582 ",46.227638,2.213749,France,FRA,Member State,FRA,France,Europe,Western Europe,FR,France
HR,"1942.325 ","1902.891 ","1924.636 ",1900.924,1997.802,2045.099,2196.674,2146.863,2235.149,"1968.591 ","2147.878 ","2234.877 ",45.1,15.2,Croatie,HRV,Member State,HRV,Croatia,Europe,Southern Europe,HR,Croatie
HU,"3812.948 ","3692.233 ","3459.986 ",3873.295,4181.253,4261.597,4496.778,4790.228,5070.454,"4459.534 ","4897.618 ","5277.609 ",47.162494,19.503304,Hongrie,HUN,Member State,HUN,Hungary,Europe,Eastern Europe,HU,Hongrie
IE,"3706.343 ","3626.675 ","3687.125 ",3837.779,3886.297,4098.254,4052.097,4097.165,4124.552,"3486.797 ","3712.807 ","3983.706 ",53.41291,-8.24389,Irlande,IRL,Member State,IRL,Ireland,Europe,Northern Europe,IE,Irlande
IS,"275.915 ","270.221 ","277.329 ",278.661,300.785,333.071,352.87,369.539,360.095,"305.364 ","322.218 ",: ,64.963051,-19.020835,Islande,ISL,Member State,ISL,Iceland,Europe,Northern Europe,IS,Islande
IT,"38572.097 ","36348.734 ","35701.272 ",37009.372,36374.374,35814.501,34525.408,35579.484,35861.202,"28976.458 ","34801.761 ","36684.754 ",41.87194,12.56738,Italie,ITA,Member State,ITA,Italy,Europe,Southern Europe,IT,Italie
LT,"1483.642 ","1508.424 ","1502.068 ",1662.623,1750.186,1864.513,1960.025,2081.494,2150.671,"2126.456 ","2144.972 ","2103.595 ",55.169438,23.881275,Lituanie,LTU,Member State,LTU,Lithuania,Europe,Northern Europe,LT,Lituanie
LU,"2307.877 ","2207.321 ","2166.737 ",2086.962,1958.228,1907.236,1966.428,2101.34,2153.407,"1667.676 ","1771.034 ","1551.608 ",49.815273,6.129583,Luxembourg,LUX,Member State,LUX,Luxembourg,Europe,Western Europe,LU,Luxembourg
LV,"964.755 ","929.636 ","939.540 ",982.367,1037.65,1033.562,1080.824,1108.725,1098.869,"1045.500 ","1077.062 ","1022.107 ",56.879635,24.603189,Lettonie,LVA,Member State,LVA,Latvia,Europe,Northern Europe,LV,Lettonie
MD,"620.914 ","546.328 ","573.806 ",593.361,648.6,682.37,687.658,700.196,717.605,"667.422 ","743.177 ","743.419 ",47.411631,28.369885,Moldavie,MDA,Member State,MDA,"Moldova, Republic of",Europe,Eastern Europe,MD,République de Moldova
ME,"213.102 ","202.848 ","165.309 ",162.866,186.645,219.419,235.525,252.719,265.685,"225.951 ","294.128 ","299.369 ",42.708678,19.37439,Monténégro,MNE,Member State,MNE,Montenegro,Europe,Southern Europe,ME,Monténégro
MK,"475.330 ","453.275 ","514.739 ",537.47,596.422,679.961,705.735,705.468,762.509,"643.547 ","738.656 ","743.988 ",41.608635,21.745275,Macédoine du Nord,MKD,Member State,MKD,The former Yugoslav Republic of Macedonia,Europe,Southern Europe,MK,Macédoine du Nord
MT,"183.239 ","181.194 ","183.709 ",187.942,199.764,199.742,207.327,227.773,241.714,"205.248 ","215.107 ","251.915 ",35.937496,14.375416,Malte,MLT,Member State,MLT,Malta,Europe,Southern Europe,MT,Malte
NL,"11786.205 ","11278.336 ","10761.714 ",9920.28,10037.15,10029.925,10383.524,10627.204,10615.136,"9055.072 ","9227.681 ","9179.524 ",52.132633,5.291266,Pays-Bas,NLD,Member State,NLD,Netherlands,Europe,Western Europe,NL,Pays-Bas
PL,"17408.462 ","16680.367 ","15744.034 ",15804.963,16561.073,18557.186,21431.698,22349.398,22782.296,"21778.636 ","23537.388 ","23899.797 ",51.919438,19.145136,Pologne,POL,Member State,POL,Poland,Europe,Eastern Europe,PL,Pologne
PT,"6002.257 ","5531.309 ","5435.469 ",5464.228,5555.183,5690.973,5788.829,5847.575,5982.658,"5002.965 ","5468.095 ","5793.595 ",39.399872,-8.224454,Portugal,PRT,Member State,PRT,Portugal,Europe,Southern Europe,PT,Portugal
RO,"5212.550 ","5314.735 ","5188.743 ",5266.333,5337.702,5738.034,6149.188,6303.748,6571.907,"6460.800 ","6879.222 ","7441.108 ",45.943161,24.96676,Roumanie,ROU,Member State,ROU,Romania,Europe,Eastern Europe,RO,Roumanie
RS,"2042.180 ","1806.836 ","1972.215 ",2041.409,1986.102,2029.445,2113.345,2136.951,2306.862,"2196.880 ","2505.117 ","2673.208 ",44.016521,21.005859,Serbie,SRB,Member State,SRB,Serbia,Europe,Southern Europe,RS,Serbie
SE,"7510.930 ","7232.473 ","7148.502 ",7145.92,7295.5,7224.832,7307.861,7127.429,7026.905,"6610.086 ","6824.465 ","6590.000 ",60.128161,18.643501,Suède,SWE,Member State,SWE,Sweden,Europe,Northern Europe,SE,Suède
SI,"1882.202 ","1899.103 ","1809.666 ",1794.9,1772.57,1882.533,1934.203,1974.63,1926.584,"1583.292 ","1799.603 ","1971.102 ",46.151241,14.995463,Slovénie,SVN,Member State,SVN,Slovenia,Europe,Southern Europe,SI,Slovénie
SK,"2596.766 ","2299.840 ","2308.716 ",2176.422,2168.799,2429.877,2772.655,2744.051,2789.729,"2487.886 ","2619.259 ","2659.961 ",48.669026,19.699024,Slovaquie,SVK,Member State,SVK,Slovakia,Europe,Eastern Europe,SK,Slovaquie
UA,"12875.180 ","11772.360 ","11848.904 ",10299.778,8721.254,9133.661,9590.778,9417.827,10029.097,"8017.678 ",: ,: ,48.379433,31.16558,Ukraine,UKR,Member State,UKR,Ukraine,Europe,Eastern Europe,UA,Ukraine
XK,"330.601 ","333.486 ","270.401 ",344.017,380.384,395.981,410.191,429.875,428.184,"421.572 ","464.108 ","430.051 ",42.602636,20.902977,Kosovo,SRB,Member State,SRB,Serbia,Europe,Southern Europe,RS,Serbie
